alive_only,ci_hi_2-9.6s,ci_hi_<=2s,ci_hi_>9.6s,ci_lo_2-9.6s,ci_lo_<=2s,ci_lo_>9.6s,config,include_gk,match_id,mean_all,median_2-9.6s,median_<=2s,median_>9.6s,median_all,median_ci_hi,median_ci_lo,method,n,p90_all,share_2-9.6s,share_<=2s,share_>9.6s,width_m
False,9.62545416355133,4.187327861785889,18.19053988456726,7.726889908313751,3.6724231243133545,13.551159143447876,B_particion_portero,True,J03WOY,13.751928013199812,8.705322265625,3.9205174446105957,15.648955345153809,10.802152633666992,12.243416595458985,9.578977072238922,B4,102293,28.38715972900391,0.3227102538785645,0.1424046611205068,0.5348850850009287,44.0
False,9.382868826389313,4.253063678741455,17.67705969810486,7.2769731998443605,3.6795399248600007,11.374692392349242,C_solo_campo,False,J03WOY,12.930826023812072,8.46251630783081,3.955260396003723,14.095606327056885,9.6836576461792,11.11516124010086,8.30151300430298,B4,84662,27.9683843612671,0.3573031584418039,0.1610876190026222,0.4816092225555739,44.0
False,8.703954648971557,3.9826584607362747,14.647600400447846,7.007784116268158,3.4055774092674254,11.150016331672669,A_replica_literal,True,J03WPY,11.422770855977706,7.771539688110352,3.6655324697494507,12.812911987304688,8.556112289428711,9.687102854251862,7.567890000343323,B4,91493,23.64099617004395,0.3888057009825888,0.1771720240892746,0.43402227492813655,44.0
False,8.741634821891784,3.9497509360313416,15.27038573026657,7.07658097743988,3.3899719297885893,12.399413430690766,B_particion_portero,True,J03WPY,11.69416640127378,7.821423530578613,3.6410648822784424,13.86562967300415,8.781928062438965,9.972772264480591,7.749603706598282,B4,91493,23.978668212890625,0.3888057009825888,0.1771720240892746,0.43402227492813655,44.0
False,8.456389105319976,3.9616542637348173,14.249819397926329,6.687655353546143,3.379330810904503,9.222835528850556,C_solo_campo,False,J03WPY,10.205630474021003,7.498072385787964,3.6412463188171387,11.671765804290771,7.485948085784912,8.666340088844299,6.492309105396271,B4,72125,20.744888305664062,0.4500797227036395,0.20917850953206238,0.3407417677642981,44.0
False,9.107110488414763,4.128155624866485,16.072100400924683,7.437598955631256,3.526534152030945,12.774605917930604,A_replica_literal,True,J03WQQ,12.015332377515078,8.287586688995361,3.8150135278701782,14.207825660705566,9.748623847961426,10.977367925643922,8.77801833152771,B4,90872,24.27779273986817,0.3491284444053174,0.14790034334008276,0.5029712122545998,44.0
False,9.275914621353149,4.113308489322662,17.45488452911377,7.640230166912079,3.5198161959648133,14.164092540740967,B_particion_portero,True,J03WQQ,12.937178814459669,8.487683773040771,3.8070242404937744,15.747189998626709,10.248826026916504,11.440445339679718,9.213312125205993,B4,90872,27.238113784790045,0.3491284444053174,0.14790034334008276,0.5029712122545998,44.0
False,9.061882257461548,4.1702155530452725,14.427412223815917,7.27753084897995,3.525805714726448,10.905404376983643,C_solo_campo,False,J03WQQ,10.871635077763539,8.1592378616333,3.843224287033081,12.489426136016846,8.641291618347168,9.831245136260986,7.580882370471954,B4,73227,22.06091156005865,0.39452660903765,0.16984172504677236,0.4356316659155776,44.0
False,9.089547991752625,4.2580598294734955,16.496819019317627,7.665954852104187,3.732111230492592,12.405607604980469,A_replica_literal,True,J03WR9,13.176395799578874,8.366833686828613,3.9668222665786743,14.486886978149414,9.898990631103516,11.311296105384827,8.810378384590148,B4,99589,28.295314407348627,0.32617056100573355,0.14103967305626122,0.5327897659380052,44.0
False,8.938958716392516,4.159288465976715,17.355293416976927,7.591744315624237,3.689788779616356,12.959061002731323,B_particion_portero,True,J03WR9,13.382850577479996,8.250292778015137,3.9119412899017334,14.977163791656494,10.092777252197266,11.412765896320343,9.078416800498962,B4,99589,28.602793884277336,0.32617056100573355,0.14103967305626122,0.5327897659380052,44.0
False,8.90534621477127,4.237652581930161,15.816449737548828,7.517178565263748,3.733498275279999,11.044841694831849,C_solo_campo,False,J03WR9,12.218269245736085,8.169218063354492,3.9615261554718018,13.315688610076904,9.097340106964111,10.339759993553162,7.974775326251984,B4,81624,26.06574802398681,0.3636675487601686,0.15963442124865235,0.47669802999117905,44.0
