match_id,provider,fps,width_m,n_frames,visible_mean,visible_std,visible_p05,visible_p95,hidden_share_le2s,hidden_share_2_96s,hidden_share_gt96s,cold_start_share,gap_median_s,gap_p90_s,gap_max_s
J03WPY,sportec,5.0,52,16291,16.742311705849854,4.271178996090498,8.0,21.0,0.23622240967243077,0.4304208257181686,0.3333567646094006,0.0034674792476620782,5.599999904632568,36.400001525878906,245.0
J03WPY,sportec,5.0,60,16291,18.07249401510036,3.769552464854473,10.0,21.0,0.248275429574815,0.43717860278439735,0.3145459676407877,0.0031102011471797197,5.0,34.20000076293945,195.1999969482422
J03WQQ,sportec,5.0,36,16873,13.308362472589344,4.498513751646427,5.0,20.0,0.1916149775223354,0.37331417515506743,0.43507084732259715,0.009281118526296503,7.599999904632568,42.79999923706055,280.3999938964844
J03WQQ,sportec,5.0,44,16873,15.084572986428022,4.350810386500807,7.0,20.0,0.19904805442762255,0.37514902161149505,0.4258029239608824,0.0033056079191644853,7.400000095367432,40.0,242.0
J03WQQ,sportec,5.0,52,16873,16.616132282344573,4.009801663601672,9.0,21.0,0.21021087422027745,0.3817498370728982,0.4080392887068243,0.0018701576275714667,6.800000190734863,42.400001525878906,240.8000030517578
J03WQQ,sportec,5.0,60,16873,17.87133289871392,3.6533200098483456,10.0,21.0,0.21832572204393977,0.38413354727227844,0.39754073068378176,0.0014481589893698967,6.599999904632568,43.20000076293945,230.8000030517578
J03WR9,sportec,5.0,36,17066,12.545529122231336,4.669274936756083,5.0,19.0,0.1646214343673928,0.32543536608201734,0.5099431995505899,0.007065385807251317,10.0,56.0,451.0
J03WR9,sportec,5.0,44,17066,14.410992616899097,4.6439582432521,6.0,20.0,0.17735942916660188,0.3431140889517621,0.479526481881636,0.006640208780517937,9.0,48.400001525878906,398.0
J03WR9,sportec,5.0,52,17066,16.024024375952184,4.409341412436219,8.0,21.0,0.18833162743091095,0.3615758601684907,0.4500925124005984,0.0037063910732845684,8.0,45.60000228881836,396.20001220703125
J03WR9,sportec,5.0,60,17066,17.43220438298371,4.042302827011622,9.0,21.0,0.20300267820354348,0.3674675525339926,0.42952976926246395,0.0037201426482284423,7.400000095367432,43.60000228881836,336.6000061035156
SYNTH01,synthetic,5.0,36,2585,12.769439071566731,1.669453133992447,12.0,16.0,0.1621532364597094,0.3394980184940555,0.49834874504623516,0.2385901680566615,9.600000381469727,34.400001525878906,127.5999984741211
SYNTH01,synthetic,5.0,44,2585,14.302127659574468,1.9033756329087055,12.0,16.0,0.2177973450737109,0.5033019811887133,0.2789006737375759,0.2466455600783959,5.599999904632568,16.80000114440918,127.20000457763672
SYNTH01,synthetic,5.0,52,2585,15.83017408123791,0.7119989627009383,14.0,16.0,0.25346720600982375,0.4636665703553886,0.28286622363478764,0.1319831964386482,4.800000190734863,69.5999984741211,258.6000061035156
SYNTH01,synthetic,5.0,60,2585,17.437524177949708,1.7616328098023435,16.0,20.0,0.30257510729613735,0.384656652360515,0.31276824034334766,0.05172121417670002,4.200000286102295,52.79999923706055,177.1999969482422
SYNTH02,synthetic,5.0,36,2566,12.802805923616523,1.7096557425766954,10.0,16.0,0.15054488259746096,0.3201887428378834,0.5292663745646556,0.24567796610169493,10.600000381469727,33.20000076293945,111.80000305175781
SYNTH02,synthetic,5.0,44,2566,14.323460639127045,1.9248880350797952,12.0,16.0,0.18896438612933458,0.3729498594189316,0.4380857544517338,0.1333130267032186,7.800000190734863,58.400001525878906,289.0
SYNTH02,synthetic,5.0,52,2566,15.830865159781762,0.7508362392703164,14.0,16.0,0.22173174872665535,0.37202037351443124,0.4062478777589134,0.06980416929879975,6.400000095367432,81.5199966430664,288.3999938964844
SYNTH02,synthetic,5.0,60,2566,17.36204208885425,1.7437856368860636,16.0,20.0,0.2756359124346362,0.35212266241247897,0.3722414251528849,0.05192840937736325,5.400000095367432,79.0,254.40000915527344
SYNTH03,synthetic,5.0,36,2725,12.94605504587156,1.7583426403880016,12.0,16.0,0.1678890306122449,0.35299744897959184,0.47911352040816324,0.23735408560311283,9.0,28.200000762939453,65.80000305175781
SYNTH03,synthetic,5.0,44,2725,14.469724770642202,1.8896873479156953,12.0,16.0,0.2056773221126672,0.44708911637254284,0.3472335615147899,0.2240253411306043,6.200000286102295,21.600000381469727,159.1999969482422
SYNTH03,synthetic,5.0,52,2725,15.874862385321101,0.611308739965014,15.0,16.0,0.23819453787165343,0.41026503430647115,0.35154042782187545,0.10934036306991791,5.400000095367432,94.4000015258789,289.6000061035156
SYNTH03,synthetic,5.0,60,2725,17.230091743119267,1.710060085543884,16.0,20.0,0.27448183267600906,0.36779390786271715,0.3577242594612738,0.08316664102169564,5.0,59.60000228881836,167.60000610351562
